107,Peterborough Airport,YPQ,Canada,Peterborough,"{latitude:44.2299995422363, longitude:-78.363296508789}",-5
108,Prince Rupert Airport,YPR,Canada,Prince Pupert,"{latitude:54.2860984801999, longitude:-130.445007324}",-8
109,Fort Chipewyan Airport,YPY,Canada,Fort Chipewyan,"{latitude:58.7672004699707, longitude:-111.116996765136}",-7
110,Muskoka Airport,YQA,Canada,Muskoka,"{latitude:44.9747009277343, longitude:-79.3032989501953}",-5
111,Quebec Jean Lesage International Airport,YQB,Canada,Quebec,"{latitude:46.7911, longitude:-71.393303}",-5
112,Red Deer Regional Airport,YQF,Canada,Red Deer Industrial,"{latitude:52.182201385498, longitude:-113.893997192382}",-7
113,Windsor Airport,YQG,Canada,Windsor,"{latitude:42.2756004333496, longitude:-82.9555969238281}",-5
114,Watson Lake Airport,YQH,Canada,Watson Lake,"{latitude:60.1164016723632, longitude:-128.822006225585}",-8
115,Kenora Airport,YQK,Canada,Kenora,"{latitude:49.7882995605468, longitude:-94.3630981445312}",-6
116,Lethbridge County Airport,YQL,Canada,Lethbridge,"{latitude:49.6302986145, longitude:-112.800003052}",-7
117,Greater Moncton International Airport,YQM,Canada,Moncton,"{latitude:46.1122016906738, longitude:-64.678596496582}",-4
119,Comox Airport,YQQ,Canada,Comox,"{latitude:49.7108001708984, longitude:-124.887001037597}",-8
120,Regina International Airport,YQR,Canada,Regina,"{latitude:50.431900024414, longitude:-104.66600036621}",-6
121,Thunder Bay Airport,YQT,Canada,Thunder Bay,"{latitude:48.371898651123, longitude:-89.3238983154296}",-5
122,Grande Prairie Airport,YQU,Canada,Grande Prairie,"{latitude:55.1796989441, longitude:-118.885002136}",-7
123,Yorkton Municipal Airport,YQV,Canada,Yorkton,"{latitude:51.2647018432617, longitude:-102.461997985839}",-6
124,North Battleford Airport,YQW,Canada,North Battleford,"{latitude:52.7691993713378, longitude:-108.244003295898}",-6
125,Gander International Airport,YQX,Canada,Gander,"{latitude:48.9369010925292, longitude:-54.5680999755859}",-3.5
126,Sydney / J.A. Douglas McCurdy Airport,YQY,Canada,Sydney,"{latitude:46.1614, longitude:-60.047798}",-4
127,Quesnel Airport,YQZ,Canada,Quesnel,"{latitude:53.0261001586914, longitude:-122.51000213623}",-8
128,Resolute Bay Airport,YRB,Canada,Resolute,"{latitude:74.7169036865, longitude:-94.9693984985}",-6
129,Rivière-du-Loup Airport,YRI,Canada,Riviere Du Loup,"{latitude:47.7644004821777, longitude:-69.5847015380859}",-5
130,Roberval Airport,YRJ,Canada,Roberval,"{latitude:48.5200004577636, longitude:-72.2656021118164}",-5
131,Rocky Mountain House Airport,YRM,Canada,Rocky Mountain House,"{latitude:52.4296989441, longitude:-114.903999329}",-7
132,Rankin Inlet Airport,YRT,Canada,Rankin Inlet,"{latitude:62.8114013672, longitude:-92.1157989502}",-6
133,Sudbury Airport,YSB,Canada,Sudbury,"{latitude:46.625, longitude:-80.7988967895507}",-5
134,Sherbrooke Airport,YSC,Canada,Sherbrooke,"{latitude:45.4385986328125, longitude:-71.6913986206054}",-5
135,Saint John Airport,YSJ,Canada,St. John,"{latitude:45.3161010742187, longitude:-65.8902969360351}",-4
136,Fort Smith Airport,YSM,Canada,Fort Smith,"{latitude:60.0203018188476, longitude:-111.961997985839}",-7
137,Nanisivik Airport,YSR,Canada,Nanisivik,"{latitude:72.982201, longitude:-84.613602}",-5
138,Summerside Airport,YSU,Canada,Summerside,"{latitude:46.4406013488769, longitude:-63.8335990905761}",-4
139,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,YSY,Canada,Sachs Harbour,"{latitude:71.9938964844, longitude:-125.242996216}",-7
140,Cape Dorset Airport,YTE,Canada,Cape Dorset,"{latitude:64.2300033569, longitude:-76.5267028809}",-5
141,Thompson Airport,YTH,Canada,Thompson,"{latitude:55.8011016845703, longitude:-97.8641967773437}",-6
142,CFB Trenton,YTR,Canada,Trenton,"{latitude:44.1189002990722, longitude:-77.5280990600585}",-5
143,Timmins/Victor M. Power,YTS,Canada,Timmins,"{latitude:48.5696983336999, longitude:-81.376701355}",-5
144,Billy Bishop Toronto City Centre Airport,YTZ,Canada,Toronto,"{latitude:43.627499, longitude:-79.396202}",-5
145,Tuktoyaktuk Airport,YUB,Canada,Tuktoyaktuk,"{latitude:69.4332962036132, longitude:-133.026000976562}",-7
146,Montreal / Pierre Elliott Trudeau International Airport,YUL,Canada,Montreal,"{latitude:45.4706001282, longitude:-73.7407989502}",-5
147,Repulse Bay Airport,YUT,Canada,Repulse Bay,"{latitude:66.5214004517, longitude:-86.2247009277}",-6
148,Hall Beach Airport,YUX,Canada,Hall Beach,"{latitude:68.7761001586999, longitude:-81.2425}",-5
149,Rouyn Noranda Airport,YUY,Canada,Rouyn,"{latitude:48.2061004638671, longitude:-78.8356018066406}",-5
150,La Ronge Airport,YVC,Canada,La Ronge,"{latitude:55.1514015198, longitude:-105.262001038}",-6
151,Vermilion Airport,YVG,Canada,Vermillion,"{latitude:53.3558006286999, longitude:-110.823997498}",-7
152,Qikiqtarjuaq Airport,YVM,Canada,Broughton Island,"{latitude:67.5457992554, longitude:-64.0314025878999}",-5
153,Val-d'Or Airport,YVO,Canada,Val D'or,"{latitude:48.0532989502, longitude:-77.7827987671}",-5
154,Kuujjuaq Airport,YVP,Canada,Quujjuaq,"{latitude:58.0960998535156, longitude:-68.426902770996}",-5
155,Norman Wells Airport,YVQ,Canada,Norman Wells,"{latitude:65.2816009521484, longitude:-126.797996520996}",-7
156,Vancouver International Airport,YVR,Canada,Vancouver,"{latitude:49.193901062, longitude:-123.183998108}",-8
157,Buffalo Narrows Airport,YVT,Canada,Buffalo Narrows,"{latitude:55.8418998718, longitude:-108.417999268}",-6
158,Wiarton Airport,YVV,Canada,Wiarton,"{latitude:44.7458, longitude:-81.107201}",-5
159,Petawawa Airport,YWA,Canada,Petawawa,"{latitude:45.9522018432617, longitude:-77.3191986083984}",-5
160,Winnipeg / James Armstrong Richardson International Airport,YWG,Canada,Winnipeg,"{latitude:49.9099998473999, longitude:-97.2398986816}",-6
161,Wabush Airport,YWK,Canada,Wabush,"{latitude:52.9219017028808, longitude:-66.864402770996}",-4
162,Williams Lake Airport,YWL,Canada,Williams Lake,"{latitude:52.1831016541, longitude:-122.054000854}",-8
163,Wrigley Airport,YWY,Canada,Wrigley,"{latitude:63.2094001770019, longitude:-123.43699645996}",-7
164,Cranbrook/Canadian Rockies International Airport,YXC,Canada,Cranbrook,"{latitude:49.610801696777, longitude:-115.78199768066}",-7
165,Edmonton City Centre (Blatchford Field) Airport,YXD,Canada,Edmonton,"{latitude:53.5724983215, longitude:-113.521003723}",-7
166,Saskatoon John G. Diefenbaker International Airport,YXE,Canada,Saskatoon,"{latitude:52.170799255371, longitude:-106.699996948242}",-6
167,Medicine Hat Airport,YXH,Canada,Medicine Hat,"{latitude:50.0189018249511, longitude:-110.721000671386}",-7
168,Fort St John Airport,YXJ,Canada,Fort Saint John,"{latitude:56.2380981445312, longitude:-120.739997863769}",-7
169,Sioux Lookout Airport,YXL,Canada,Sioux Lookout,"{latitude:50.113899230957, longitude:-91.9052963256835}",-6
170,Pangnirtung Airport,YXP,Canada,Pangnirtung,"{latitude:66.1449966431, longitude:-65.7136001586999}",-5
171,Earlton (Timiskaming Regional) Airport,YXR,Canada,Earlton,"{latitude:47.6974006545999, longitude:-79.8473453522}",-5
172,Prince George Airport,YXS,Canada,Prince George,"{latitude:53.8894004822, longitude:-122.679000854}",-8
173,Northwest Regional Airport Terrace-Kitimat,YXT,Canada,Terrace,"{latitude:54.468498, longitude:-128.576009}",-8
174,London Airport,YXU,Canada,London,"{latitude:43.035599, longitude:-81.1539}",-5
175,Abbotsford Airport,YXX,Canada,Abbotsford,"{latitude:49.0252990722656, longitude:-122.361000061035}",-8
176,Whitehorse / Erik Nielsen International Airport,YXY,Canada,Whitehorse,"{latitude:60.7095985413, longitude:-135.067001343}",-8
177,North Bay Jack Garland Airport,YYB,Canada,North Bay,"{latitude:46.363602, longitude:-79.422798}",-5
178,Calgary International Airport,YYC,Canada,Calgary,"{latitude:51.113899231, longitude:-114.019996643}",-7
179,Smithers Airport,YYD,Canada,Smithers,"{latitude:54.8246994018554, longitude:-127.182998657226}",-8
180,Fort Nelson Airport,YYE,Canada,Fort Nelson,"{latitude:58.8363990784, longitude:-122.597000122}",-8
181,Penticton Airport,YYF,Canada,Penticton,"{latitude:49.4631004333496, longitude:-119.601997375488}",-8
182,Charlottetown Airport,YYG,Canada,Charlottetown,"{latitude:46.2900009155273, longitude:-63.1211013793945}",-4
183,Taloyoak Airport,YYH,Canada,Spence Bay,"{latitude:69.5466995239, longitude:-93.5766983032}",-7
184,Victoria International Airport,YYJ,Canada,Victoria,"{latitude:48.646900177, longitude:-123.426002502}",-8
185,Lynn Lake Airport,YYL,Canada,Lynn Lake,"{latitude:56.863899230957, longitude:-101.075996398925}",-6
186,Swift Current Airport,YYN,Canada,Swift Current,"{latitude:50.2919006347999, longitude:-107.691001892}",-6
187,Churchill Airport,YYQ,Canada,Churchill,"{latitude:58.739200592041, longitude:-94.0650024414062}",-6
188,Goose Bay Airport,YYR,Canada,Goose Bay,"{latitude:53.3191986084, longitude:-60.4258003235}",-4
189,St. John's International Airport,YYT,Canada,St. John's,"{latitude:47.618598938, longitude:-52.7518997192}",-3.5
190,Kapuskasing Airport,YYU,Canada,Kapuskasing,"{latitude:49.4138984680175, longitude:-82.4674987792968}",-5
191,Armstrong Airport,YYW,Canada,Armstrong,"{latitude:50.290298461914, longitude:-88.9096984863281}",-5
192,Mont Joli Airport,YYY,Canada,Mont Joli,"{latitude:48.608600616455, longitude:-68.2080993652343}",-5
193,Lester B. Pearson International Airport,YYZ,Canada,Toronto,"{latitude:43.6772003174, longitude:-79.6305999755999}",-5
194,Downsview Airport,YZD,Canada,Toronto,"{latitude:43.7425003051757, longitude:-79.4655990600585}",-5
195,Gore Bay Manitoulin Airport,YZE,Canada,Gore Bay,"{latitude:45.8852996826171, longitude:-82.5678024291992}",-5
196,Yellowknife Airport,YZF,Canada,Yellowknife,"{latitude:62.4627990722656, longitude:-114.440002441406}",-7
197,Slave Lake Airport,YZH,Canada,Slave Lake,"{latitude:55.2930984497, longitude:-114.777000427}",-7
198,Sandspit Airport,YZP,Canada,Sandspit,"{latitude:53.2542991637999, longitude:-131.813995361}",-8
199,Chris Hadfield Airport,YZR,Canada,Sarnia,"{latitude:42.9994010925292, longitude:-82.3088989257812}",-5
200,Port Hardy Airport,YZT,Canada,Port Hardy,"{latitude:50.6805992126464, longitude:-127.366996765136}",-8
201,Whitecourt Airport,YZU,Canada,Whitecourt,"{latitude:54.1439018249511, longitude:-115.787002563476}",-7
