:START_ID,:END_ID
airport_3397,airport_3399
airport_3384,airport_3393
airport_3384,airport_3395
airport_3384,airport_3382
airport_3384,airport_3387
airport_3382,airport_3375
airport_3382,airport_3393
airport_3382,airport_3371
airport_3382,airport_3395
airport_3382,airport_3381
airport_3382,airport_3384
airport_3382,airport_3394
airport_3382,airport_6376
airport_3382,airport_3387
airport_3382,airport_3388
airport_3382,airport_3390
airport_3382,airport_4108
airport_3382,airport_2276
airport_3382,airport_6403
airport_3382,airport_3379
airport_3382,airport_3383
airport_3382,airport_4149
airport_6379,airport_3395
airport_6379,airport_3383
airport_3394,airport_3395
airport_3394,airport_3386
airport_3394,airport_6386
airport_3394,airport_3382
airport_3394,airport_3378
airport_3394,airport_4030
airport_3394,airport_6392
airport_3394,airport_4149
airport_3372,airport_4085
airport_3372,airport_6347
airport_3372,airport_4030
airport_3378,airport_3393
airport_3378,airport_3395
airport_3378,airport_4308
airport_3378,airport_6432
airport_3378,airport_3394
airport_3378,airport_3368
airport_4033,airport_3393
airport_4033,airport_3395
airport_4033,airport_6400
airport_6376,airport_3395
airport_6376,airport_3382
airport_4097,airport_3393
airport_4097,airport_3395
airport_4097,airport_9311
airport_4097,airport_3379
airport_4097,airport_6366
airport_6385,airport_3379
airport_6402,airport_3395
airport_3339,airport_3395
airport_6400,airport_4033
airport_6400,airport_3388
airport_6400,airport_4030
airport_6400,airport_6366
airport_3387,airport_3393
airport_3387,airport_4120
airport_3387,airport_3400
airport_3387,airport_3384
airport_3387,airport_3382
airport_3387,airport_4144
airport_3387,airport_4030
airport_3388,airport_4380
airport_3388,airport_3393
airport_3388,airport_3395
airport_3388,airport_6353
airport_3388,airport_3400
airport_3388,airport_3382
airport_3388,airport_6400
airport_3388,airport_4030
airport_3373,airport_3393
airport_3373,airport_3395
airport_3373,airport_3205
airport_3373,airport_3376
airport_5475,airport_3376
airport_6954,airport_3400
airport_3364,airport_3393
airport_3364,airport_3395
airport_3364,airport_6403
airport_3364,airport_8043
airport_3406,airport_3393
airport_3406,airport_3395
airport_3406,airport_2244
airport_6435,airport_3393
airport_6435,airport_3395
airport_3205,airport_3373
airport_4144,airport_3371
airport_4144,airport_3395
airport_4144,airport_6434
airport_4144,airport_3387
airport_4144,airport_3369
airport_4144,airport_4149
airport_4144,airport_156
airport_6347,airport_3395
airport_6347,airport_3400
airport_6347,airport_3372
airport_2244,airport_3370
airport_2244,airport_3406
airport_4302,airport_3393
airport_3361,airport_3393
airport_4030,airport_3393
airport_4030,airport_3395
airport_4030,airport_3394
airport_4030,airport_3372
airport_4030,airport_6400
airport_4030,airport_3387
airport_4030,airport_3388
airport_4030,airport_4108
airport_4030,airport_6392
airport_4030,airport_4110
airport_3374,airport_3393
airport_3374,airport_3395
airport_3374,airport_6403
airport_3390,airport_3395
airport_3390,airport_3382
airport_4108,airport_4380
airport_4108,airport_3393
airport_4108,airport_3395
airport_4108,airport_3404
airport_4108,airport_3400
airport_4108,airport_3382
airport_4108,airport_4030
airport_4108,airport_3379
airport_2276,airport_3382
airport_2275,airport_3393
airport_2275,airport_3395
airport_3368,airport_4380
airport_3368,airport_3393
airport_3368,airport_3395
airport_3368,airport_3386
airport_3368,airport_3400
airport_3368,airport_3378
airport_8858,airport_3369
airport_3369,airport_3393
airport_3369,airport_3395
airport_3369,airport_6344
airport_3369,airport_3386
airport_3369,airport_4144
airport_3369,airport_8858
airport_3399,airport_3375
airport_3399,airport_3393
airport_3399,airport_3395
airport_3399,airport_3397
airport_3399,airport_3379
airport_6368,airport_3379
airport_6392,airport_3371
airport_6392,airport_3395
airport_6392,airport_3400
airport_6392,airport_3394
airport_6392,airport_4030
airport_3376,airport_3393
airport_3376,airport_3395
airport_3376,airport_3400
airport_3376,airport_6386
airport_3376,airport_3373
airport_3376,airport_5475
airport_6390,airport_3393
airport_6390,airport_3395
airport_6403,airport_3395
airport_6403,airport_3382
airport_6403,airport_3364
airport_6403,airport_3374
airport_3396,airport_3395
airport_3379,airport_6351
airport_3379,airport_3393
airport_3379,airport_3395
airport_3379,airport_3385
airport_3379,airport_9311
airport_3379,airport_3400
airport_3379,airport_3382
airport_3379,airport_4097
airport_3379,airport_6385
airport_3379,airport_4108
airport_3379,airport_3399
airport_3379,airport_6368
airport_3379,airport_3383
airport_3379,airport_6366
airport_3379,airport_4110
airport_3383,airport_3371
airport_3383,airport_3395
airport_3383,airport_4109
airport_3383,airport_3382
airport_3383,airport_6379
airport_3383,airport_3379
airport_6366,airport_3393
airport_6366,airport_3395
airport_6366,airport_4097
airport_6366,airport_6400
airport_6366,airport_3379
airport_6366,airport_8043
airport_4149,airport_3395
airport_4149,airport_3404
airport_4149,airport_3400
airport_4149,airport_3382
airport_4149,airport_3394
airport_4149,airport_4144
airport_4110,airport_4030
airport_4110,airport_3379
airport_6361,airport_3393
airport_6361,airport_3395
airport_6361,airport_3077
airport_8876,airport_3395
airport_156,airport_4144
airport_6357,airport_3393
airport_6357,airport_3077
airport_8043,airport_3364
airport_8043,airport_6366
airport_6355,airport_4109
airport_6355,airport_4120
airport_3877,airport_3484
airport_3484,airport_3877
airport_1128,airport_1590
airport_1590,airport_1128
airport_5965,airport_7214
airport_5965,airport_7215
airport_7214,airport_5965
airport_7215,airport_3423
airport_3423,airport_5965
airport_8428,airport_2988
airport_6151,airport_2988
airport_4364,airport_4111
airport_4364,airport_2992
airport_4364,airport_2988
airport_6143,airport_6140
airport_6143,airport_2988
airport_6140,airport_6143
airport_6140,airport_2975
airport_6140,airport_2988
airport_2975,airport_6140
airport_4111,airport_4364
airport_4368,airport_2988
airport_2992,airport_4364
airport_2988,airport_8428
airport_2988,airport_6151
airport_2988,airport_4364
airport_2988,airport_6143
airport_2988,airport_6140
airport_2988,airport_4368
airport_3885,airport_3076
airport_6176,airport_3076
airport_3043,airport_3069
airport_3043,airport_3076
airport_3069,airport_3043
airport_3069,airport_3076
airport_3069,airport_2194
airport_3068,airport_3076
airport_3076,airport_3885
airport_3076,airport_6176
airport_3076,airport_3043
airport_3076,airport_3069
airport_3076,airport_3068
airport_3076,airport_2188
airport_3076,airport_2072
airport_3076,airport_3071
airport_3076,airport_3125
airport_3076,airport_3304
airport_3076,airport_2194
airport_3076,airport_3073
airport_3076,airport_3074
airport_2188,airport_3076
airport_2072,airport_3076
airport_3071,airport_3076
airport_3125,airport_3076
airport_3304,airport_3076
airport_2194,airport_3069
airport_2194,airport_3076
airport_3072,airport_3076
airport_3073,airport_3076
airport_3073,airport_3072
airport_3074,airport_3076
airport_5498,airport_128
airport_128,airport_5498
airport_3670,airport_3988
airport_3988,airport_3670
airport_3988,airport_3797
airport_3988,airport_3576
airport_3988,airport_1760
airport_3797,airport_3988
airport_3576,airport_3988
airport_3576,airport_1760
airport_1760,airport_3988
airport_1760,airport_3576
airport_49,airport_176
airport_87,airport_156
airport_87,airport_176
airport_100,airport_196
airport_156,airport_87
airport_156,airport_176
airport_176,airport_87
airport_176,airport_156
airport_176,airport_178
airport_176,airport_196
airport_178,airport_49
airport_196,airport_100
airport_196,airport_176
airport_1783,airport_1824
airport_1783,airport_1850
airport_1785,airport_1824
airport_2709,airport_1824
airport_1794,airport_1824
airport_1796,airport_1824
airport_1789,airport_1824
airport_1795,airport_1824
airport_1793,airport_1824
airport_1792,airport_1824
airport_1852,airport_1824
airport_1852,airport_1825
airport_1852,airport_1850
airport_1797,airport_1824
airport_1800,airport_1824
airport_1804,airport_1824
airport_1804,airport_1825
airport_1804,airport_3621
airport_1804,airport_1840
airport_1804,airport_3867
airport_1804,airport_1847
airport_1767,airport_1824
airport_1909,airport_1824
airport_1807,airport_1824
airport_1786,airport_1824
airport_3797,airport_1824
airport_1816,airport_1824
airport_3877,airport_1825
airport_3877,airport_1850
airport_1824,airport_1783
airport_1824,airport_1785
airport_1824,airport_2709
airport_1824,airport_1794
airport_1824,airport_1796
airport_1824,airport_1789
airport_1824,airport_1795
airport_1824,airport_1793
airport_1824,airport_1792
airport_1824,airport_1852
airport_1824,airport_1797
airport_1824,airport_1800
airport_1824,airport_1804
airport_1824,airport_1767
airport_1824,airport_1909
airport_1824,airport_1807
airport_1824,airport_1786
airport_1824,airport_3797
airport_1824,airport_1816
airport_1824,airport_3576
airport_1824,airport_1819
airport_1824,airport_1822
airport_1824,airport_1825
airport_1824,airport_1826
airport_1824,airport_1829
airport_1824,airport_1836
airport_1824,airport_1839
airport_1824,airport_3621
airport_1824,airport_1840
airport_1824,airport_1885
airport_1824,airport_3867
airport_1824,airport_1848
airport_1824,airport_1846
airport_1824,airport_1847
airport_1824,airport_1845
airport_1824,airport_1854
airport_1824,airport_1853
airport_1824,airport_1855
airport_1824,airport_1856
airport_1824,airport_1858
airport_3576,airport_1824
airport_1819,airport_1824
airport_1822,airport_1824
airport_1825,airport_1852
airport_1825,airport_1804
airport_1825,airport_3877
airport_1825,airport_1824
airport_1825,airport_3621
airport_1825,airport_1850
airport_1826,airport_1824
airport_1829,airport_1824
airport_1836,airport_1824
airport_1836,airport_1850
airport_1839,airport_1824
airport_3621,airport_1804
airport_3621,airport_1824
airport_3621,airport_1825
airport_3621,airport_1850
airport_1840,airport_1804
airport_1840,airport_1824
airport_1840,airport_1850
airport_1885,airport_1824
airport_3867,airport_1804
airport_3867,airport_1824
airport_1848,airport_1824
airport_1846,airport_1824
airport_1847,airport_1804
airport_1847,airport_1824
airport_1850,airport_1783
airport_1850,airport_1852
airport_1850,airport_3877
airport_1850,airport_1825
airport_1850,airport_1836
airport_1850,airport_3621
airport_1850,airport_1840
airport_1850,airport_1856
airport_1845,airport_1824
airport_1854,airport_1824
